Income,Savings,Expenses,Saving Percentage,Expense Percentage,Expense Category,Expense Category Numeric,Predicted Expense Category Numeric
117163,48577,68586,41.46104146,58.53895854,Transportation,4,4
20196,7992,12204,39.57219251,60.42780749,Housing,3,3
111613,7752,103861,6.945427504,93.0545725,Transportation,4,2
65794,9837,55957,14.95121136,85.04878864,Transportation,4,4
13258,1381,11877,10.41635239,89.58364761,Housing,3,3
84142,1467,82675,1.743481258,98.25651874,Transportation,4,4
120816,42556,78260,35.22381142,64.77618858,Healthcare,2,2
13620,811,12809,5.954478708,94.04552129,Housing,3,3
49115,20249,28866,41.22773084,58.77226916,Food,1,1
10194,5421,4773,53.1783402,46.8216598,Housing,3,3
233292,37748,195544,16.18058056,83.81941944,Entertainment,0,0
211725,52425,159300,24.76089267,75.23910733,Entertainment,0,0
218034,58071,159963,26.63391948,73.36608052,Entertainment,0,0
46414,4667,41747,10.05515577,89.94484423,Food,1,4
20011,3270,16741,16.34101244,83.65898756,Housing,3,3
196213,66465,129748,33.87390234,66.12609766,Entertainment,0,0
156971,67086,89885,42.73783055,57.26216945,Healthcare,2,0
134194,9860,124334,7.347571426,92.65242857,Healthcare,2,2
27777,4434,23343,15.96284696,84.03715304,Housing,3,1
26814,1539,25275,5.739539047,94.26046095,Housing,3,1
32403,3088,29315,9.529981792,90.47001821,Food,1,1
188797,11938,176859,6.323193695,93.67680631,Entertainment,0,0
106411,57262,49149,53.81210589,46.18789411,Transportation,4,4
97837,39554,58283,40.42846776,59.57153224,Transportation,4,4
221185,8900,212285,4.023780998,95.976219,Entertainment,0,0
37207,2025,35182,5.442524256,94.55747574,Food,1,1
119528,32781,86747,27.42537313,72.57462687,Transportation,4,2
36795,21030,15765,57.15450469,42.84549531,Food,1,1
76498,27706,48792,36.21794034,63.78205966,Transportation,4,4
163467,57351,106116,35.08414542,64.91585458,Healthcare,2,0
11345,5468,5877,48.19744381,51.80255619,Housing,3,3
155324,61635,93689,39.68156885,60.31843115,Healthcare,2,0
43396,12861,30535,29.63637202,70.36362798,Food,1,1
27892,15846,12046,56.8119891,43.1880109,Housing,3,1
180167,64915,115252,36.03046063,63.96953937,Entertainment,0,0
44171,14678,29493,33.22994725,66.77005275,Food,1,1
77683,25722,51961,33.11149157,66.88850843,Transportation,4,4
31759,12346,19413,38.87401996,61.12598004,Food,1,1
206649,3826,202823,1.851448592,98.14855141,Entertainment,0,0
111996,25051,86945,22.36776313,77.63223687,Transportation,4,2
19993,11552,8441,57.78022308,42.21977692,Housing,3,3
53120,12835,40285,24.1622741,75.8377259,Food,1,4
19132,8199,10933,42.85490278,57.14509722,Housing,3,3
49489,2877,46612,5.813413082,94.18658692,Food,1,4
92529,13630,78899,14.73051692,85.26948308,Transportation,4,4
207925,60367,147558,29.03306481,70.96693519,Entertainment,0,0
15000,1104,13896,7.36,92.64,Housing,3,3
38681,15549,23132,40.19803004,59.80196996,Food,1,1
213555,4666,208889,2.184917234,97.81508277,Entertainment,0,0
17355,9720,7635,56.00691443,43.99308557,Housing,3,3
166700,62958,103742,37.76724655,62.23275345,Healthcare,2,0
28018,13800,14218,49.25405097,50.74594903,Housing,3,1
182040,28083,153957,15.42682927,84.57317073,Entertainment,0,0
29697,16583,13114,55.84065731,44.15934269,Housing,3,1
39352,5962,33390,15.15043708,84.84956292,Food,1,1
141627,49433,92194,34.90365538,65.09634462,Healthcare,2,2
136546,67140,69406,49.170243,50.829757,Healthcare,2,4
205486,42924,162562,20.88901434,79.11098566,Entertainment,0,0
98751,43108,55643,43.65322883,56.34677117,Transportation,4,4
194232,59952,134280,30.86618065,69.13381935,Entertainment,0,0
125020,58915,66105,47.12446009,52.87553991,Healthcare,2,4
125966,9330,116636,7.406760554,92.59323945,Healthcare,2,2
154956,11070,143886,7.143963448,92.85603655,Healthcare,2,0
31107,2775,28332,8.92082168,91.07917832,Food,1,1
151623,69876,81747,46.08535644,53.91464356,Healthcare,2,0
138231,34947,103284,25.28159385,74.71840615,Healthcare,2,2
247140,33578,213562,13.58663106,86.41336894,Entertainment,0,0
22133,12140,9993,54.85022365,45.14977635,Housing,3,3
195180,18221,176959,9.335485193,90.66451481,Entertainment,0,0
94778,15347,79431,16.19257634,83.80742366,Transportation,4,4
243327,28081,215246,11.54043735,88.45956265,Entertainment,0,0
151730,4157,147573,2.739735056,97.26026494,Healthcare,2,0
52629,30980,21649,58.86488438,41.13511562,Food,1,1
70940,14416,56524,20.32139836,79.67860164,Transportation,4,4
13447,456,12991,3.39109095,96.60890905,Housing,3,3
28303,5762,22541,20.35826591,79.64173409,Housing,3,1
67634,29598,38036,43.76201319,56.23798681,Transportation,4,4
163072,62611,100461,38.39469682,61.60530318,Healthcare,2,0
80065,13954,66111,17.42833947,82.57166053,Transportation,4,4
83579,34777,48802,41.6097345,58.3902655,Transportation,4,4
19291,10464,8827,54.2429112,45.7570888,Housing,3,3
32767,8173,24594,24.94277779,75.05722221,Food,1,1
154630,36521,118109,23.61831469,76.38168531,Healthcare,2,0
241971,8551,233420,3.533894558,96.46610544,Entertainment,0,0
148162,50292,97870,33.94392624,66.05607376,Healthcare,2,2
55624,15221,40403,27.36408744,72.63591256,Food,1,4
15650,8878,6772,56.7284345,43.2715655,Housing,3,3
106163,49419,56744,46.55011633,53.44988367,Transportation,4,4
15406,2451,12955,15.90938595,84.09061405,Housing,3,3
21828,1008,20820,4.617921935,95.38207806,Housing,3,3
131202,38965,92237,29.69848021,70.30151979,Healthcare,2,2
35499,9572,25927,26.96413983,73.03586017,Food,1,1
37443,10803,26640,28.85185482,71.14814518,Food,1,1
95335,55195,40140,57.89584098,42.10415902,Transportation,4,4
149287,64223,85064,43.01982088,56.98017912,Healthcare,2,2
26996,7044,19952,26.09275448,73.90724552,Housing,3,1
221448,68818,152630,31.07637007,68.92362993,Entertainment,0,0
176091,37396,138695,21.23674691,78.76325309,Healthcare,2,0
73357,18103,55254,24.67794485,75.32205515,Transportation,4,4
171334,58153,113181,33.94130762,66.05869238,Healthcare,2,0
38112,8506,29606,22.31842989,77.68157011,Food,1,1
247343,26668,220675,10.78178885,89.21821115,Entertainment,0,0
91511,52313,39198,57.1658052,42.8341948,Transportation,4,4
31004,14699,16305,47.41001161,52.58998839,Food,1,1
86186,39135,47051,45.4076068,54.5923932,Transportation,4,4
131946,67559,64387,51.20200688,48.79799312,Healthcare,2,4
191679,38594,153085,20.13470438,79.86529562,Entertainment,0,0
36889,15982,20907,43.3245683,56.6754317,Food,1,1
18882,4246,14636,22.48702468,77.51297532,Housing,3,3
70815,21392,49423,30.2082892,69.7917108,Transportation,4,4
246411,60410,186001,24.51595099,75.48404901,Entertainment,0,0
111704,64407,47297,57.65863353,42.34136647,Transportation,4,4
41796,19164,22632,45.85127763,54.14872237,Food,1,1
13742,2997,10745,21.80905254,78.19094746,Housing,3,3
102058,26973,75085,26.42908934,73.57091066,Transportation,4,2
182050,66909,115141,36.75308981,63.24691019,Entertainment,0,0
226229,63434,162795,28.03972965,71.96027035,Entertainment,0,0
184440,46582,137858,25.25590978,74.74409022,Entertainment,0,0
27092,4416,22676,16.30001476,83.69998524,Housing,3,1
69276,22900,46376,33.05618107,66.94381893,Transportation,4,4
174712,46345,128367,26.5265122,73.4734878,Healthcare,2,0
10153,570,9583,5.614104206,94.38589579,Housing,3,3
156983,39226,117757,24.98741902,75.01258098,Healthcare,2,0
103940,45493,58447,43.7685203,56.2314797,Transportation,4,4
173694,26274,147420,15.12660196,84.87339804,Healthcare,2,0
14718,4355,10363,29.58961815,70.41038185,Housing,3,3
220856,50467,170389,22.85063571,77.14936429,Entertainment,0,0
229730,20721,209009,9.0197188,90.9802812,Entertainment,0,0
192465,7292,185173,3.78874081,96.21125919,Entertainment,0,0
122292,16913,105379,13.83001341,86.16998659,Healthcare,2,2
36018,7908,28110,21.95568882,78.04431118,Food,1,1
45638,15736,29902,34.48003856,65.51996144,Food,1,1
30501,12204,18297,40.01180289,59.98819711,Food,1,1
88839,39385,49454,44.3330069,55.6669931,Transportation,4,4
74218,29766,44452,40.1061737,59.8938263,Transportation,4,4
179155,32650,146505,18.22444252,81.77555748,Healthcare,2,0
218675,7626,211049,3.487367097,96.5126329,Entertainment,0,0
38109,16498,21611,43.29161091,56.70838909,Food,1,1
153970,44406,109564,28.84068325,71.15931675,Healthcare,2,0
138965,27125,111840,19.51930342,80.48069658,Healthcare,2,2
172882,15796,157086,9.136867921,90.86313208,Healthcare,2,0
157741,39033,118708,24.74499338,75.25500662,Healthcare,2,0
24346,5263,19083,21.61751417,78.38248583,Housing,3,3
179836,6187,173649,3.44035677,96.55964323,Healthcare,2,0
137501,65805,71696,47.85783376,52.14216624,Healthcare,2,2
28075,13102,14973,46.66785396,53.33214604,Housing,3,1
177870,14084,163786,7.918142464,92.08185754,Healthcare,2,0
49827,2826,47001,5.671623818,94.32837618,Food,1,4
27689,11843,15846,42.77149771,57.22850229,Housing,3,1
106197,39936,66261,37.60558208,62.39441792,Transportation,4,2
211639,27453,184186,12.97161676,87.02838324,Entertainment,0,0
121286,23663,97623,19.5100836,80.4899164,Healthcare,2,2
28305,10989,17316,38.82352941,61.17647059,Housing,3,1
62557,9339,53218,14.92878495,85.07121505,Transportation,4,4
217524,4292,213232,1.97311561,98.02688439,Entertainment,0,0
247223,55128,192095,22.29889614,77.70110386,Entertainment,0,0
203333,66040,137293,32.47874177,67.52125823,Entertainment,0,0
140896,21907,118989,15.54834772,84.45165228,Healthcare,2,2
16017,4220,11797,26.34700631,73.65299369,Housing,3,3
157665,65667,91998,41.64970031,58.35029969,Healthcare,2,0
86844,47976,38868,55.24388559,44.75611441,Transportation,4,4
132519,50097,82422,37.80363571,62.19636429,Healthcare,2,2
147934,10839,137095,7.326916057,92.67308394,Healthcare,2,2
92322,44595,47727,48.30376292,51.69623708,Transportation,4,4
157956,24943,133013,15.79110638,84.20889362,Healthcare,2,0
78851,3677,75174,4.663225577,95.33677442,Transportation,4,4
74643,26167,48476,35.05620085,64.94379915,Transportation,4,4
231571,63158,168413,27.27370871,72.72629129,Entertainment,0,0
160766,4718,156048,2.934700123,97.06529988,Healthcare,2,0
121841,53211,68630,43.6724912,56.3275088,Healthcare,2,4
92266,54127,38139,58.66407994,41.33592006,Transportation,4,4
131357,49027,82330,37.32347724,62.67652276,Healthcare,2,2
179084,45391,133693,25.34620625,74.65379375,Healthcare,2,0
70116,5963,64153,8.504478293,91.49552171,Transportation,4,4
29624,6593,23031,22.25560356,77.74439644,Housing,3,1
90551,17516,73035,19.34379521,80.65620479,Transportation,4,4
27876,15500,12376,55.60338643,44.39661357,Housing,3,1
35378,7507,27871,21.21940189,78.78059811,Food,1,1
236692,13782,222910,5.822757001,94.177243,Entertainment,0,0
114132,27200,86932,23.83205411,76.16794589,Transportation,4,2
42594,1526,41068,3.582664225,96.41733577,Food,1,4
144240,6947,137293,4.816278425,95.18372158,Healthcare,2,2
128699,10120,118579,7.863308961,92.13669104,Healthcare,2,2
104012,19977,84035,19.20643772,80.79356228,Transportation,4,2
116678,16133,100545,13.82694253,86.17305747,Transportation,4,2
232193,31797,200396,13.69421128,86.30578872,Entertainment,0,0
85181,15320,69861,17.98523145,82.01476855,Transportation,4,4
149016,5678,143338,3.810329092,96.18967091,Healthcare,2,2
237196,54134,183062,22.82247593,77.17752407,Entertainment,0,0
26569,12086,14483,45.48910384,54.51089616,Housing,3,1
118651,18258,100393,15.38798662,84.61201338,Transportation,4,2
197265,22608,174657,11.46072542,88.53927458,Entertainment,0,0
123675,69541,54134,56.22882555,43.77117445,Healthcare,2,4
161255,2582,158673,1.601190661,98.39880934,Healthcare,2,0
135503,9447,126056,6.971801362,93.02819864,Healthcare,2,2
56318,27751,28567,49.27554246,50.72445754,Food,1,4
21219,10976,10243,51.7272256,48.2727744,Housing,3,3
17034,8727,8307,51.23282846,48.76717154,Housing,3,3
181878,19349,162529,10.63844995,89.36155005,Entertainment,0,0
65210,33056,32154,50.69161172,49.30838828,Transportation,4,4
81896,27142,54754,33.1420338,66.8579662,Transportation,4,4
54177,23530,30647,43.43171457,56.56828543,Food,1,4
182677,1752,180925,0.959069834,99.04093017,Entertainment,0,0
47085,15488,31597,32.89370288,67.10629712,Food,1,1
36583,19591,16992,53.55219638,46.44780362,Food,1,1
99441,44764,54677,45.01563741,54.98436259,Transportation,4,4
61244,19699,41545,32.16478349,67.83521651,Transportation,4,4
177464,24527,152937,13.82083127,86.17916873,Healthcare,2,0
106853,1961,104892,1.83523158,98.16476842,Transportation,4,2
171840,69737,102103,40.58251862,59.41748138,Healthcare,2,0
152346,36343,116003,23.85556562,76.14443438,Healthcare,2,0
205838,26264,179574,12.75954877,87.24045123,Entertainment,0,0
109182,19292,89890,17.66957923,82.33042077,Transportation,4,2
30165,1781,28384,5.904193602,94.0958064,Food,1,1
42122,7033,35089,16.69673805,83.30326195,Food,1,1
159341,9548,149793,5.992180293,94.00781971,Healthcare,2,0
51035,115,50920,0.225335554,99.77466445,Food,1,4
17901,1901,16000,10.61951846,89.38048154,Housing,3,3
57254,31406,25848,54.85380934,45.14619066,Food,1,4
235361,58947,176414,25.04535586,74.95464414,Entertainment,0,0
123460,44667,78793,36.17932934,63.82067066,Healthcare,2,2
44465,14289,30176,32.13538738,67.86461262,Food,1,1
16312,8091,8221,49.60152035,50.39847965,Housing,3,3
18704,1940,16764,10.37211292,89.62788708,Housing,3,3
136763,6959,129804,5.088364543,94.91163546,Healthcare,2,2
145889,31508,114381,21.59724174,78.40275826,Healthcare,2,2
32411,6109,26302,18.84853908,81.15146092,Food,1,1
35375,21139,14236,59.75689046,40.24310954,Food,1,1
25933,2016,23917,7.773878842,92.22612116,Housing,3,1
173733,53089,120644,30.55780997,69.44219003,Healthcare,2,0
190378,22918,167460,12.03815567,87.96184433,Entertainment,0,0
33971,14917,19054,43.9109829,56.0890171,Food,1,1
97483,57579,39904,59.06568325,40.93431675,Transportation,4,4
30808,15316,15492,49.71435991,50.28564009,Food,1,1
136265,6183,130082,4.537482112,95.46251789,Healthcare,2,2
238594,37052,201542,15.5293092,84.4706908,Entertainment,0,0
34793,18296,16497,52.58529014,47.41470986,Food,1,1
39940,19757,20183,49.46670005,50.53329995,Food,1,1
80646,33958,46688,42.10748208,57.89251792,Transportation,4,4
96240,36463,59777,37.88757273,62.11242727,Transportation,4,4
75771,20310,55461,26.80445025,73.19554975,Transportation,4,4
30018,17934,12084,59.74415351,40.25584649,Food,1,1
20105,10577,9528,52.60880378,47.39119622,Housing,3,3
12428,3252,9176,26.16672031,73.83327969,Housing,3,3
57524,21575,35949,37.50608442,62.49391558,Food,1,4
162427,65584,96843,40.37752344,59.62247656,Healthcare,2,0
244932,9810,235122,4.005193278,95.99480672,Entertainment,0,0
245634,898,244736,0.365584569,99.63441543,Entertainment,0,0
100174,7543,92631,7.529897978,92.47010202,Transportation,4,2
15905,1706,14199,10.72618673,89.27381327,Housing,3,3
81469,24958,56511,30.63496545,69.36503455,Transportation,4,4
160195,9156,151039,5.715534193,94.28446581,Healthcare,2,0
39718,7020,32698,17.67460597,82.32539403,Food,1,1
22027,6155,15872,27.94297907,72.05702093,Housing,3,3
129786,18363,111423,14.14867551,85.85132449,Healthcare,2,2
81420,23501,57919,28.8639155,71.1360845,Transportation,4,4
34352,8927,25425,25.98684211,74.01315789,Food,1,1
163692,68186,95506,41.6550595,58.3449405,Healthcare,2,0
200012,53505,146507,26.75089495,73.24910505,Entertainment,0,0
232863,26371,206492,11.32468447,88.67531553,Entertainment,0,0
16884,6084,10800,36.03411514,63.96588486,Housing,3,3
96953,38667,58286,39.88221097,60.11778903,Transportation,4,4
195390,63454,131936,32.4755617,67.5244383,Entertainment,0,0
249778,61539,188239,24.63747808,75.36252192,Entertainment,0,0
118927,20556,98371,17.28455271,82.71544729,Transportation,4,2
24986,10503,14483,42.0355399,57.9644601,Housing,3,3
63997,13902,50095,21.72289326,78.27710674,Transportation,4,4
130060,41268,88792,31.72997078,68.27002922,Healthcare,2,2
234172,50403,183769,21.52392259,78.47607741,Entertainment,0,0
233130,55267,177863,23.70651568,76.29348432,Entertainment,0,0
128706,69841,58865,54.26398148,45.73601852,Healthcare,2,4
12172,5399,6773,44.35589878,55.64410122,Housing,3,3
248479,21048,227431,8.470735958,91.52926404,Entertainment,0,0
237903,67874,170029,28.53011522,71.46988478,Entertainment,0,0
55524,33294,22230,59.96325913,40.03674087,Food,1,1
104210,44423,59787,42.62834661,57.37165339,Transportation,4,4
25520,3295,22225,12.91144201,87.08855799,Housing,3,1
113891,24338,89553,21.3695551,78.6304449,Transportation,4,2
186796,11708,175088,6.267800167,93.73219983,Entertainment,0,0
62253,7289,54964,11.70867267,88.29132733,Transportation,4,4
175256,727,174529,0.414821746,99.58517825,Healthcare,2,0
47021,24223,22798,51.51528041,48.48471959,Food,1,1
27729,3832,23897,13.81946698,86.18053302,Housing,3,1
112294,4247,108047,3.78203644,96.21796356,Transportation,4,2
63472,13931,49541,21.94826065,78.05173935,Transportation,4,4
146911,43310,103601,29.48043373,70.51956627,Healthcare,2,2
210084,68504,141580,32.60790922,67.39209078,Entertainment,0,0
24818,8543,16275,34.4225965,65.5774035,Housing,3,3
24505,9178,15327,37.4535809,62.5464191,Housing,3,3
96347,54355,41992,56.4158718,43.5841282,Transportation,4,4
112124,52269,59855,46.61713817,53.38286183,Transportation,4,4
90745,8695,82050,9.58179514,90.41820486,Transportation,4,4
20024,11966,8058,59.75829005,40.24170995,Housing,3,3
33031,238,32793,0.720535255,99.27946475,Food,1,1
24030,175,23855,0.728256346,99.27174365,Housing,3,3
235410,29698,205712,12.6154369,87.3845631,Entertainment,0,0
46622,26465,20157,56.76504654,43.23495346,Food,1,1
179486,26522,152964,14.77663996,85.22336004,Healthcare,2,0
14862,2313,12549,15.56318127,84.43681873,Housing,3,3
26131,15127,11004,57.88909724,42.11090276,Housing,3,1
46450,15764,30686,33.93756728,66.06243272,Food,1,1
165646,51151,114495,30.87970733,69.12029267,Healthcare,2,0
16043,3017,13026,18.80570966,81.19429034,Housing,3,3
29671,12485,17186,42.07812342,57.92187658,Housing,3,1
140159,44090,96069,31.45713083,68.54286917,Healthcare,2,2
223807,68218,155589,30.4807267,69.5192733,Entertainment,0,0
24557,6326,18231,25.76047563,74.23952437,Housing,3,3
160291,36170,124121,22.56520953,77.43479047,Healthcare,2,0
238960,9513,229447,3.981001004,96.018999,Entertainment,0,0
